om	colors	fsc_min	fsc_max	ssc_min	ssc_max
AgilentSC_Quanteon	all	550000	800000	2000000	3000000
AgilentSC_Quanteon	rainbow	390000	450000	1500000	2500000
AZGBBIO_Aurora	all	900000	1400000	1100000	1620000
AZGBBIO_Aurora	rainbow	600000	800000	600000	900000
AZGBBIO_SymphonyA3	all	120000	175000	100000	145000
AZGBBIO_SymphonyA3	rainbow	110000	130000	110000	150000
AZGBBIO_SymphonyA5	all	100000	130000	90000	125000
AZGBBIO_SymphonyA5	rainbow	100000	130000	100000	130000
AZSSF_Aurora	all	1300000	1600000	1200000	1700000
AZSSF_Aurora	rainbow	900000	1400000	950000	1300000
BDSJ_Lyric	all	180000	205000	130000	165000
BDSJ_Lyric	rainbow	125000	150000	110000	135000
BDSJ_Lyric-2	all	90000	105000	130000	165000
BDSJ_Lyric-2	rainbow	70000	80000	110000	140000
BMSSeattle_CantoSORP-2	all	110000	140000	110000	150000
BMSSeattle_CantoSORP-2	rainbow	70000	160000	110000	150000
BMSWarren_CantoSORP	all	75000	100000	70000	90000
BMSWarren_CantoSORP	v450,v500	75000	100000	100000	140000
BMSWarren_CantoSORP	rainbow	50000	75000	85000	110000
BMSWarren_MQA10-1	all	37500	60000	35000	55000
BMSWarren_MQA10-1	rainbow	60000	125000	80000	105000
BMSWarren_MQA10-2	all	55000	80000	30000	55000
BMSWarren_MQA10-2	rainbow	10000	40000	85000	120000
FDACBER_AriaIII	all	110000	130000	110000	140000
FDACBER_AriaIII	rainbow	100000	140000	100000	140000
FDACBER_Canto10	all	115000	130000	100000	125000
FDACBER_Canto10	rainbow	85000	105000	110000	135000
FDACBER_CantoII-1	all	100000	115000	100000	135000
FDACBER_CantoII-1	rainbow	87500	100000	100000	140000
FDACBER_Fortessa	all	90000	110000	100000	150000
FDACBER_Fortessa	rainbow	75000	90000	80000	120000
ISAC_BRZE5	all	130000	155000	110000	150000
ISAC_BRZE5	rainbow	110000	150000	87500	110000
ISAC_CantoII-1	all	60000	75000	105000	140000
ISAC_CantoII-1	rainbow	45000	55000	90000	115000
ISAC_Lyric-1	all	105000	125000	80000	120000
ISAC_Lyric-1	rainbow	70000	100000	60000	100000
KITE_CytoflexS	all	60000	180000	300000	600000
KITE_CytoflexS	rainbow	200000	275000	275000	350000
MSKCC_Aurora	all	750000	900000	1500000	1750000
MSKCC_Aurora	rainbow	400000	600000	1000000	1500000
NIBSC_AriaIII	all	75000	95000	160000	200000
NIBSC_AriaIII	rainbow	55000	70000	115000	150000
NIBSC_CantoII-1	all	120000	140000	95000	130000
NIBSC_CantoII-1	rainbow	85000	105000	70000	100000
NIBSC_CantoII-2	all	87500	100000	120000	150000
NIBSC_CantoII-2	rainbow	65000	75000	100000	125000
NISTGB-LW_AttuneNXT	all	320000	380000	320000	440000
NISTGB-LW_AttuneNXT	rainbow	230000	300000	420000	550000
NISTGB-LW_CytoflexLX	all	225000	350000	250000	400000
NISTGB-LW_CytoflexLX	rainbow	275000	375000	300000	500000
Q2LabSol_Aurora	all	750000	1200000	1500000	1750000
Q2LabSol_Aurora	rainbow	1200000	1400000	1000000	1400000
Q2LabSol_Aurora-2	all	1200000	1500000	2000000	2250000
Q2LabSol_Aurora-2	rainbow	1200000	1400000	1200000	1800000
UDel_FusionI	all	85000	100000	80000	115000
UDel_FusionI	rainbow	100000	115000	70000	110000
UDel_FusionII	all	85000	100000	80000	115000
UDel_FusionII	rainbow	105000	125000	70000	110000
WRAIR_Fortessa	all	70000	90000	100000	140000
WRAIR_Fortessa	rainbow	60000	75000	90000	115000
